task_name,agent_a,agent_b,runs_a,runs_b,success_a,success_b,success_gap,mean_tool_calls_a,mean_tool_calls_b,tool_call_gap,switch_rate_gap,repeat_rate_gap,intent_entropy_gap,process_gap_score
filter-js-from-html,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0,0.0,21.4,10.4267,10.9733,0.7318,0.092,0.0282,31.7093
multi-source-data-merger,judy,terminus-3-3,5,10,1.0,1.0,0.0,12.8,10.9,1.9,0.359,0.616,1.0822,31.686
polyglot-c-py,mini-swe-agent,terminus-2,75,191,0.0,0.0314,0.0314,10.4133,32.0366,21.6233,0.124,0.2561,0.1106,31.6788
torch-tensor-parallelism,codex,terminus-2,40,195,0.1,0.0256,0.0744,0.475,12.3641,11.8891,0.3537,0.1449,1.4616,31.6621
git-leak-recovery,claude-code,judy,35,5,0.9714,1.0,0.0286,14.9714,18.6,3.6286,0.1984,0.7263,0.9821,31.6566
regex-chess,gemini-cli,judy,20,5,0.0,0.0,0.0,3.25,1.6,1.65,0.6667,0.4138,0.5981,31.653
torch-pipeline-parallelism,deepagent-harbor,openhands,5,69,0.0,0.0,0.0,8.8,25.2899,16.4899,0.306,0.1968,0.5176,31.6479
sam-cell-seg,claude-code,terminus-2,35,193,0.0,0.0155,0.0155,23.6286,45.7979,22.1693,0.3686,0.0012,0.0326,31.5773
prove-plus-comm,codex,deepagent-harbor,40,5,0.95,1.0,0.05,3.525,10.4,6.875,0.6777,0.2249,0.423,31.555
path-tracing-reverse,codex,gemini-cli,40,19,0.125,0.1053,0.0197,11.625,5.7368,5.8882,0.5046,0.4512,0.3515,31.5407
financial-document-processor,gemini-cli,judy,20,5,0.4,0.4,0.0,14.85,2.8,12.05,0.7535,0.0034,0.0979,31.462
filter-js-from-html,judy,terminus-2,5,195,0.0,0.0,0.0,12.6,18.3026,5.7026,0.5067,0.4301,0.4427,31.3361
filter-js-from-html,gemini-cli,terminus-2,20,195,0.0,0.0,0.0,9.4,18.3026,8.9026,0.6257,0.1127,0.7924,31.3246
llm-inference-batching-scheduler,deepagent-harbor,judy,5,5,1.0,1.0,0.0,24.0,28.8,4.8,0.3159,0.6707,0.3703,31.3165
break-filter-js-from-html,codex,gemini-cli,39,19,0.2821,0.2105,0.0716,2.8205,4.0,1.1795,0.7741,0.3609,0.3491,31.3
query-optimize,judy,openhands,5,70,0.6,0.5429,0.0571,14.6,32.5429,17.9429,0.1139,0.2619,0.7905,31.2904
caffe-cifar-10,codex,mini-swe-agent,36,75,0.0278,0.0,0.0278,3.4167,25.3067,21.89,0.1704,0.0564,0.7377,31.2485
chess-best-move,codex,deepagent-harbor,36,5,0.3889,0.4,0.0111,1.6389,11.2,9.5611,0.5575,0.0215,1.4383,31.2276
git-leak-recovery,judy,terminus-3-3,5,10,1.0,1.0,0.0,18.6,24.8,6.2,0.0335,0.7459,1.1071,31.2205
db-wal-recovery,openhands,terminus-2,69,202,0.029,0.0495,0.0205,70.2754,51.8069,18.4685,0.1014,0.3613,0.1927,30.9995
hf-model-inference,deepagent-harbor,judy,5,5,1.0,1.0,0.0,12.4,14.4,2.0,0.2537,0.7444,0.8052,30.9785
make-doom-for-mips,deepagent-harbor,judy,5,5,0.0,0.0,0.0,9.6,29.0,19.4,0.0899,0.2659,0.5338,30.964
sam-cell-seg,codex,mini-swe-agent,40,75,0.0,0.0133,0.0133,1.325,22.2933,20.9683,0.1944,0.0685,0.6834,30.9578
fix-code-vulnerability,deepagent-harbor,judy,5,5,1.0,1.0,0.0,40.4,15.4,25.0,0.0959,0.0976,0.2186,30.9305
filter-js-from-html,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,9.4,10.4267,1.0267,0.7964,0.306,0.459,30.8817
sqlite-with-gcov,judy,terminus-3-3,5,10,1.0,0.9,0.1,38.0,33.9,4.1,0.0572,0.6381,1.8654,30.8095
feal-linear-cryptanalysis,openhands,terminus-2,70,191,0.1286,0.1832,0.0546,71.6571,57.8586,13.7985,0.1919,0.4596,0.1404,30.788
gpt2-codegolf,openhands,terminus-2,70,195,0.0,0.0,0.0,43.9143,24.9128,19.0015,0.1786,0.283,0.0301,30.692
log-summary-date-ranges,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,6.8,13.4,6.6,0.6187,0.0592,1.4272,30.6835
adaptive-rejection-sampler,claude-code,openhands,32,70,0.1875,0.1857,0.0018,27.4062,42.2429,14.8367,0.4035,0.1601,0.3494,30.6737
distribution-search,claude-code,terminus-2,35,201,0.6286,0.5622,0.0664,20.6286,31.4975,10.8689,0.5018,0.225,0.3238,30.6579
caffe-cifar-10,gemini-cli,judy,18,5,0.0556,0.0,0.0556,11.4444,11.8,0.3556,0.3207,0.5926,1.4932,30.6541
make-doom-for-mips,codex,deepagent-harbor,40,5,0.0,0.0,0.0,21.15,9.6,11.55,0.317,0.36,0.4224,30.587
llm-inference-batching-scheduler,judy,terminus-3-3,5,10,1.0,1.0,0.0,28.8,36.3,7.5,0.3278,0.4532,0.7071,30.5605
model-extraction-relu-logits,gemini-cli,mini-swe-agent,20,75,0.05,0.04,0.01,2.15,7.5333,5.3833,0.9444,0.0307,0.1598,30.5598
vulnerable-secret,claude-code,judy,35,5,1.0,1.0,0.0,16.4286,22.4,5.9714,0.0959,0.7277,0.7909,30.5159
portfolio-optimization,codex,judy,40,5,0.975,1.0,0.025,5.1,11.8,6.7,0.3048,0.5751,0.3621,30.508
video-processing,deepagent-harbor,terminus-2,5,195,0.0,0.0154,0.0154,5.2,17.6923,12.4923,0.5658,0.0294,0.6246,30.4953
torch-pipeline-parallelism,claude-code,openhands,35,69,0.0857,0.0,0.0857,9.5714,25.2899,15.7185,0.4325,0.1145,0.2171,30.479
dna-insert,claude-code,codex,35,40,0.0,0.0,0.0,23.3714,8.8,14.5714,0.4362,0.097,0.5059,30.4309
prove-plus-comm,codex,gemini-cli,40,20,0.95,0.9,0.05,3.525,3.9,0.375,0.8466,0.251,0.5122,30.376
polyglot-rust-c,codex,mini-swe-agent,40,75,0.025,0.0,0.025,1.275,21.48,20.205,0.1111,0.1097,0.9092,30.271
raman-fitting,codex,gemini-cli,40,20,0.0,0.0,0.0,10.175,5.3,4.875,0.7173,0.2976,0.0005,30.25
db-wal-recovery,mini-swe-agent,terminus-2,75,202,0.0267,0.0495,0.0228,25.9733,51.8069,25.8336,0.0458,0.0761,0.2683,30.2226
dna-assembly,claude-code,codex,35,40,0.0571,0.0,0.0571,29.9143,18.15,11.7643,0.4683,0.1636,0.5251,30.1873
gcode-to-text,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,3.7,10.96,7.26,0.7929,0.0631,0.3016,30.168
headless-terminal,gemini-cli,terminus-2,20,195,0.75,0.7487,0.0013,5.5,16.9487,11.4487,0.5688,0.0448,0.6724,30.1507
sparql-university,openhands,terminus-2,70,195,0.2143,0.2513,0.037,31.7,14.0205,17.6795,0.099,0.373,0.1252,30.1055
raman-fitting,openhands,terminus-3-3,70,10,0.0,0.0,0.0,42.5714,25.7,16.8714,0.0044,0.515,0.049,30.1014
hf-model-inference,judy,terminus-3-3,5,10,1.0,1.0,0.0,14.4,11.4,3.0,0.2352,0.6362,1.0562,30.066
portfolio-optimization,claude-code,terminus-3-3,35,10,0.8,0.9,0.1,17.4571,31.2,13.7429,0.5478,0.103,0.0097,30.0614
video-processing,gemini-cli,mini-swe-agent,20,75,0.1,0.0,0.1,4.6,9.84,5.24,0.6346,0.3019,0.2784,30.0445
pytorch-model-recovery,codex,terminus-2,40,194,0.6,0.5052,0.0948,1.525,22.9227,21.3977,0.0627,0.2038,0.3814,29.9672
gcode-to-text,claude-code,gemini-cli,35,20,0.0286,0.0,0.0286,18.1714,3.7,14.4714,0.4533,0.1588,0.0302,29.9249
extract-moves-from-video,gemini-cli,mini-swe-agent,20,75,0.0,0.0,0.0,4.25,29.4667,25.2167,0.1644,0.0095,0.068,29.9042
write-compressor,mini-swe-agent,terminus-2,73,194,0.0137,0.0876,0.0739,16.0,38.4381,22.4381,0.0439,0.1287,0.6294,29.9001
configure-git-webserver,mini-swe-agent,terminus-3-3,75,10,0.36,0.4,0.04,15.6533,35.7,20.0467,0.0648,0.2148,0.5478,29.7757
mcmc-sampling-stan,judy,terminus-3-3,5,10,0.8,0.9,0.1,35.0,50.2,15.2,0.3422,0.1399,0.4934,29.7195
nginx-request-logging,judy,terminus-3-3,5,10,1.0,1.0,0.0,18.0,21.3,3.3,0.2154,0.6229,1.0892,29.7035
regex-chess,mini-swe-agent,terminus-2,75,191,0.0,0.0471,0.0471,25.0133,46.9319,21.9186,0.1122,0.1511,0.2293,29.6476
openssl-selfsigned-cert,codex,terminus-3-3,40,10,0.925,1.0,0.075,4.35,15.6,11.25,0.4501,0.1374,0.7349,29.612
gpt2-codegolf,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,20.6,12.6133,7.9867,0.5787,0.2463,0.1944,29.5837
make-doom-for-mips,mini-swe-agent,terminus-2,75,195,0.0,0.0,0.0,45.5467,68.8872,23.3405,0.011,0.1225,0.5762,29.559
fix-code-vulnerability,judy,terminus-3-3,5,10,1.0,1.0,0.0,15.4,13.4,2.0,0.1703,0.6375,1.4624,29.507
vulnerable-secret,judy,terminus-3-3,5,10,1.0,1.0,0.0,22.4,25.8,3.4,0.1756,0.5859,1.398,29.4275
polyglot-rust-c,claude-code,terminus-2,35,187,0.0286,0.0107,0.0179,46.1429,36.9786,9.1643,0.4848,0.2821,0.2166,29.4198
count-dataset-tokens,gemini-cli,terminus-2,20,205,0.4,0.3805,0.0195,8.4,17.6439,9.2439,0.5399,0.2288,0.1884,29.4034
sparql-university,claude-code,mini-swe-agent,35,75,0.0571,0.1467,0.0896,3.8571,8.16,4.3029,0.8125,0.1279,0.3173,29.3994
caffe-cifar-10,deepagent-harbor,judy,5,5,0.0,0.0,0.0,3.4,11.8,8.4,0.0776,0.654,0.5369,29.3745
mteb-retrieve,claude-code,mini-swe-agent,35,75,0.0,0.0133,0.0133,5.2,4.84,0.36,0.9816,0.1727,0.0281,29.358
filter-js-from-html,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,5.0286,10.4267,5.3981,0.7469,0.0267,0.9223,29.3496
headless-terminal,judy,terminus-2,5,195,0.8,0.7487,0.0513,13.4,16.9487,3.5487,0.3659,0.5259,0.6995,29.3412
portfolio-optimization,gemini-cli,terminus-2,20,195,0.75,0.8205,0.0705,4.25,20.5487,16.2987,0.3834,0.0589,0.3967,29.3397
adaptive-rejection-sampler,mini-swe-agent,terminus-2,75,205,0.2533,0.2634,0.0101,13.12,34.2098,21.0898,0.0761,0.1496,0.5198,29.3313
fix-ocaml-gc,deepagent-harbor,judy,5,5,1.0,1.0,0.0,39.0,21.0,18.0,0.0974,0.2792,0.3772,29.301
video-processing,codex,terminus-2,40,195,0.025,0.0154,0.0096,1.725,17.6923,15.9673,0.1628,0.1126,1.2818,29.2613
sam-cell-seg,claude-code,judy,35,5,0.0,0.0,0.0,23.6286,16.2,7.4286,0.0681,0.5777,1.1353,29.2501
raman-fitting,claude-code,gemini-cli,35,20,0.0571,0.0,0.0571,20.0571,5.3,14.7571,0.3336,0.219,0.1351,29.2476
constraints-scheduling,judy,terminus-3-3,5,10,1.0,1.0,0.0,5.8,10.4,4.6,0.3742,0.4402,0.8213,29.0665
fix-ocaml-gc,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,39.0,57.7,18.7,0.2572,0.0787,0.3826,29.0105
fix-git,mini-swe-agent,terminus-2,75,197,0.8,0.8376,0.0376,9.4267,29.5431,20.1164,0.0678,0.239,0.2294,28.9334
dna-insert,gemini-cli,mini-swe-agent,20,75,0.0,0.0133,0.0133,6.9,18.3067,11.4067,0.3447,0.3561,0.0011,28.9322
dna-assembly,gemini-cli,mini-swe-agent,20,74,0.05,0.0,0.05,5.85,14.1622,8.3122,0.5381,0.1739,0.5552,28.8882
video-processing,gemini-cli,terminus-2,20,195,0.1,0.0154,0.0846,4.6,17.6923,13.0923,0.4702,0.1034,0.2876,28.8703
regex-log,deepagent-harbor,judy,5,5,1.0,1.0,0.0,16.4,6.6,9.8,0.2295,0.5306,0.0042,28.8235
make-doom-for-mips,gemini-cli,judy,20,5,0.0,0.0,0.0,19.0,29.0,10.0,0.374,0.2114,0.8367,28.8185
prove-plus-comm,gemini-cli,terminus-3-3,20,10,0.9,1.0,0.1,3.9,8.4,4.5,0.6741,0.2008,0.4854,28.7995
mteb-leaderboard,claude-code,openhands,35,70,0.0,0.0143,0.0143,35.2571,51.0,15.7429,0.1481,0.1246,1.243,28.7754
dna-insert,codex,terminus-2,40,200,0.0,0.04,0.04,8.8,30.04,21.24,0.0387,0.1415,0.5949,28.7195
tune-mjcf,codex,judy,40,5,0.5,0.4,0.1,8.775,16.6,7.825,0.3504,0.4076,0.3877,28.7135
dna-assembly,judy,mini-swe-agent,5,74,0.0,0.0,0.0,11.6,14.1622,2.5622,0.3816,0.638,0.1282,28.6932
git-leak-recovery,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,5.2,24.8,19.6,0.2125,0.0845,0.3143,28.5965
adaptive-rejection-sampler,claude-code,terminus-2,32,205,0.1875,0.2634,0.0759,27.4062,34.2098,6.8036,0.5657,0.2516,0.2489,28.4806
overfull-hbox,mini-swe-agent,terminus-2,75,191,0.2267,0.199,0.0277,20.6267,43.3403,22.7136,0.0399,0.1168,0.3634,28.4481
torch-pipeline-parallelism,claude-code,mini-swe-agent,35,74,0.0857,0.0,0.0857,9.5714,8.1486,1.4228,0.6651,0.4133,0.0122,28.4438
build-pmars,codex,terminus-3-3,38,10,0.8421,0.8,0.0421,7.7632,28.1,20.3368,0.0428,0.0606,1.0903,28.3733
gpt2-codegolf,claude-code,judy,35,5,0.0,0.0,0.0,20.6,20.6,0.0,0.4519,0.5527,0.6491,28.3605
dna-insert,claude-code,gemini-cli,35,20,0.0,0.0,0.0,23.3714,6.9,16.4714,0.1371,0.2606,0.3852,28.3399
prove-plus-comm,judy,terminus-3-3,5,10,1.0,1.0,0.0,13.8,8.4,5.4,0.4438,0.3893,0.4207,28.331
mcmc-sampling-stan,claude-code,terminus-2,35,193,0.5143,0.601,0.0867,18.2286,30.6736,12.445,0.5248,0.1003,0.0454,28.2995
filter-js-from-html,claude-code,judy,35,5,0.0,0.0,0.0,5.0286,12.6,7.5714,0.0695,0.5967,0.813,28.2914
torch-pipeline-parallelism,codex,terminus-2,40,195,0.0,0.0205,0.0205,0.75,16.4821,15.7321,0.1926,0.1733,0.6685,28.2221
adaptive-rejection-sampler,codex,gemini-cli,37,19,0.3514,0.3158,0.0356,1.8378,4.6316,2.7938,0.6766,0.2626,0.3822,28.1848
make-doom-for-mips,codex,gemini-cli,40,20,0.0,0.0,0.0,21.15,19.0,2.15,0.6011,0.4145,0.1195,28.1375
dna-assembly,claude-code,gemini-cli,35,20,0.0571,0.05,0.0071,29.9143,5.85,24.0643,0.0688,0.0858,0.0396,28.1273
constraints-scheduling,openhands,terminus-2,70,207,0.9143,0.8647,0.0496,23.1,10.5942,12.5058,0.0541,0.4999,0.3524,28.1178
polyglot-rust-c,deepagent-harbor,gemini-cli,5,20,0.2,0.1,0.1,5.6,0.95,4.65,0.6463,0.0579,1.1657,28.0835
torch-tensor-parallelism,gemini-cli,terminus-2,20,195,0.05,0.0256,0.0244,1.35,12.3641,11.0141,0.1937,0.202,1.4305,28.0591
headless-terminal,gemini-cli,mini-swe-agent,20,75,0.75,0.76,0.01,5.5,9.7467,4.2467,0.7122,0.1609,0.3857,28.0027
gpt2-codegolf,mini-swe-agent,terminus-3-3,75,10,0.0,0.0,0.0,12.6133,36.7,24.0867,0.0,0.0021,0.7672,27.9752
mteb-retrieve,gemini-cli,mini-swe-agent,20,75,0.1,0.0133,0.0867,2.8,4.84,2.04,0.9118,0.0892,0.1649,27.8895
model-extraction-relu-logits,claude-code,gemini-cli,35,20,0.0,0.05,0.05,14.1714,2.15,12.0214,0.1885,0.3544,0.4486,27.8369
mcmc-sampling-stan,claude-code,codex,35,40,0.5143,0.45,0.0643,18.2286,6.1,12.1286,0.4182,0.1396,0.3518,27.8326
torch-tensor-parallelism,claude-code,terminus-2,35,195,0.0286,0.0256,0.003,3.2,12.3641,9.1641,0.5254,0.0634,0.7715,27.7416
install-windows-3.11,openhands,terminus-2,70,194,0.0,0.0052,0.0052,83.0571,69.4639,13.5932,0.1209,0.3671,0.3713,27.6497
pytorch-model-cli,codex,terminus-2,40,195,0.475,0.3949,0.0801,3.35,22.4769,19.1269,0.1504,0.0768,0.554,27.5769
feal-linear-cryptanalysis,codex,judy,40,5,0.725,0.8,0.075,5.425,6.6,1.175,0.3104,0.6394,0.5239,27.5395
extract-moves-from-video,codex,mini-swe-agent,40,75,0.0,0.0,0.0,5.375,29.4667,24.0917,0.1089,0.0221,0.0317,27.5252
nginx-request-logging,claude-code,judy,35,5,0.9429,1.0,0.0571,19.7429,18.0,1.7429,0.4313,0.418,0.9046,27.4984
video-processing,deepagent-harbor,mini-swe-agent,5,75,0.0,0.0,0.0,5.2,9.84,4.64,0.7302,0.1691,0.0586,27.4155
gpt2-codegolf,openhands,terminus-3-3,70,10,0.0,0.0,0.0,43.9143,36.7,7.2143,0.2849,0.4845,0.1929,27.4138
caffe-cifar-10,codex,judy,36,5,0.0278,0.0,0.0278,3.4167,11.8,8.3833,0.002,0.7287,0.1504,27.4028
log-summary-date-ranges,claude-code,terminus-3-3,35,10,1.0,1.0,0.0,5.8286,13.4,7.5714,0.6886,0.0019,0.5135,27.4014
extract-moves-from-video,claude-code,mini-swe-agent,35,75,0.0,0.0,0.0,15.6571,29.4667,13.8096,0.3245,0.0619,0.7829,27.3841
schemelike-metacircular-eval,claude-code,terminus-2,35,194,0.1429,0.1289,0.014,86.8286,101.8814,15.0528,0.3669,0.0527,0.3654,27.3698
make-doom-for-mips,claude-code,terminus-2,35,195,0.0,0.0,0.0,79.4571,68.8872,10.5699,0.5483,0.1197,0.0188,27.3639
make-doom-for-mips,codex,mini-swe-agent,40,75,0.0,0.0,0.0,21.15,45.5467,24.3967,0.0021,0.0285,0.4399,27.3612
model-extraction-relu-logits,codex,gemini-cli,40,20,0.15,0.05,0.1,5.125,2.15,2.975,0.8822,0.0667,0.1182,27.2885
mcmc-sampling-stan,judy,openhands,5,70,0.8,0.7429,0.0571,35.0,50.9429,15.9429,0.1196,0.1218,1.05,27.2279
headless-terminal,claude-code,mini-swe-agent,35,75,0.8,0.76,0.04,11.7429,9.7467,1.9962,0.7383,0.2069,0.3143,27.1977
pytorch-model-cli,claude-code,mini-swe-agent,35,75,0.3714,0.3867,0.0153,15.9714,11.32,4.6514,0.5863,0.1805,0.6711,27.1769
fix-git,judy,terminus-3-3,5,10,1.0,1.0,0.0,22.0,29.7,7.7,0.144,0.5483,0.4229,27.122
constraints-scheduling,gemini-cli,terminus-3-3,20,10,0.9,1.0,0.1,4.3,10.4,6.1,0.4593,0.1748,1.0102,27.0035
cancel-async-tasks,codex,terminus-2,37,206,0.3243,0.3835,0.0592,0.4865,9.2379,8.7514,0.2544,0.1595,1.572,26.9589
polyglot-c-py,claude-code,terminus-2,35,191,0.0,0.0314,0.0314,15.2286,32.0366,16.808,0.3221,0.0613,0.1034,26.91
prove-plus-comm,openhands,terminus-2,70,195,0.8286,0.8769,0.0483,26.8571,11.9949,14.8622,0.1728,0.2864,0.1004,26.8442
gcode-to-text,codex,deepagent-harbor,40,5,0.125,0.2,0.075,8.625,22.8,14.175,0.3566,0.1017,0.2343,26.804
gpt2-codegolf,judy,terminus-2,5,195,0.0,0.0,0.0,20.6,24.9128,4.3128,0.0205,0.5996,1.3877,26.7538
constraints-scheduling,codex,judy,40,5,0.9,1.0,0.1,2.45,5.8,3.35,0.304,0.5275,0.513,26.7025
git-leak-recovery,codex,terminus-2,40,195,0.85,0.8051,0.0449,6.0,23.3231,17.3231,0.2452,0.0481,0.3937,26.6241
modernize-scientific-stack,claude-code,codex,35,40,1.0,0.95,0.05,8.5429,2.35,6.1929,0.602,0.1967,0.0925,26.6229
torch-tensor-parallelism,claude-code,gemini-cli,35,20,0.0286,0.05,0.0214,3.2,1.35,1.85,0.7191,0.1386,0.659,26.5875
llm-inference-batching-scheduler,claude-code,gemini-cli,35,20,0.4571,0.5,0.0429,42.8571,29.75,13.1071,0.0632,0.3694,0.5194,26.5191
gpt2-codegolf,claude-code,gemini-cli,35,20,0.0,0.0,0.0,20.6,1.95,18.65,0.0694,0.0952,0.7367,26.4485
make-mips-interpreter,judy,mini-swe-agent,5,75,0.0,0.0133,0.0133,22.2,26.2667,4.0667,0.1273,0.6333,0.6701,26.4322
log-summary-date-ranges,codex,openhands,40,70,0.675,0.6714,0.0036,2.175,17.3,15.125,0.0275,0.3087,0.5645,26.3525
sqlite-db-truncate,deepagent-harbor,judy,5,5,1.0,1.0,0.0,9.6,11.8,2.2,0.1363,0.7127,0.5805,26.3275
constraints-scheduling,gemini-cli,mini-swe-agent,20,75,0.9,0.84,0.06,4.3,7.28,2.98,0.5851,0.318,0.1429,26.272
constraints-scheduling,judy,openhands,5,70,1.0,0.9143,0.0857,5.8,23.1,17.3,0.2766,0.0332,0.2441,26.2655
train-fasttext,claude-code,codex,35,40,0.0,0.0,0.0,20.3714,7.225,13.1464,0.2947,0.1571,0.3606,26.2444
mteb-retrieve,judy,terminus-2,5,195,0.0,0.0051,0.0051,16.0,8.9487,7.0513,0.1893,0.4624,0.5777,26.2323
caffe-cifar-10,codex,gemini-cli,36,18,0.0278,0.0556,0.0278,3.4167,11.4444,8.0277,0.3227,0.1361,1.3428,26.2117
vulnerable-secret,codex,terminus-3-3,40,10,0.9,1.0,0.1,11.9,25.8,13.9,0.1202,0.1728,0.9939,26.1945
cancel-async-tasks,codex,mini-swe-agent,37,75,0.3243,0.4,0.0757,0.4865,8.2,7.7135,0.5,0.0046,1.1722,26.1895
mteb-retrieve,gemini-cli,terminus-2,20,195,0.1,0.0051,0.0949,2.8,8.9487,6.1487,0.6574,0.0856,0.2824,26.1357
filter-js-from-html,mini-swe-agent,terminus-3-3,75,10,0.0,0.0,0.0,10.4267,27.5,17.0733,0.1495,0.1106,0.4985,26.0683
bn-fit-modify,mini-swe-agent,terminus-2,75,203,0.32,0.2956,0.0244,18.68,36.7783,18.0983,0.0808,0.1214,0.5814,26.0603
path-tracing-reverse,deepagent-harbor,terminus-3-3,5,10,0.6,0.6,0.0,50.8,64.9,14.1,0.17,0.1462,0.8021,26.0155
count-dataset-tokens,claude-code,codex,35,40,0.4286,0.45,0.0214,11.7714,9.15,2.6214,0.6044,0.1936,0.6849,25.9959
sqlite-db-truncate,judy,terminus-3-3,5,10,1.0,1.0,0.0,11.8,11.8,0.0,0.2031,0.5816,1.2616,25.9255
regex-chess,codex,mini-swe-agent,40,75,0.0,0.0,0.0,2.275,25.0133,22.7383,0.0119,0.0864,0.1426,25.9088
git-leak-recovery,openhands,terminus-3-3,70,10,0.9286,1.0,0.0714,39.6714,24.8,14.8714,0.0303,0.3919,0.09,25.8764
code-from-image,codex,judy,40,5,0.975,1.0,0.025,1.375,6.4,5.025,0.1756,0.6319,0.1283,25.854
make-mips-interpreter,claude-code,terminus-2,35,186,0.0857,0.0215,0.0642,69.6,79.2527,9.6527,0.4727,0.158,0.0861,25.8507
mcmc-sampling-stan,deepagent-harbor,terminus-3-3,5,10,1.0,0.9,0.1,42.2,50.2,8.0,0.3954,0.2474,0.3551,25.8455
headless-terminal,codex,gemini-cli,40,20,0.825,0.75,0.075,1.975,5.5,3.525,0.6566,0.1854,0.2387,25.7685
merge-diff-arc-agi-task,claude-code,gemini-cli,35,20,0.6571,0.65,0.0071,29.4,13.35,16.05,0.2822,0.012,0.4713,25.7615
sqlite-with-gcov,claude-code,terminus-3-3,35,10,0.8,0.9,0.1,16.3714,33.9,17.5286,0.2463,0.055,0.1321,25.7216
multi-source-data-merger,claude-code,codex,35,40,0.9429,0.975,0.0321,11.0857,2.975,8.1107,0.484,0.1365,0.401,25.6282
torch-tensor-parallelism,codex,deepagent-harbor,40,5,0.1,0.0,0.1,0.475,13.4,12.925,0.0634,0.0603,1.9151,25.593
git-multibranch,gemini-cli,judy,20,5,0.55,0.6,0.05,9.0,12.4,3.4,0.0396,0.7648,0.4084,25.552
sanitize-git-repo,gemini-cli,mini-swe-agent,20,75,0.15,0.0667,0.0833,10.4,10.76,0.36,0.3873,0.5734,0.2285,25.52
financial-document-processor,claude-code,terminus-2,35,195,0.1714,0.1846,0.0132,25.3429,39.8974,14.5545,0.3009,0.0588,0.3905,25.4995
polyglot-rust-c,mini-swe-agent,terminus-2,75,187,0.0,0.0107,0.0107,21.48,36.9786,15.4986,0.1005,0.2002,0.4849,25.4406
write-compressor,claude-code,terminus-2,35,194,0.0857,0.0876,0.0019,28.4571,38.4381,9.981,0.5384,0.0404,0.1978,25.44
feal-differential-cryptanalysis,claude-code,terminus-2,35,195,0.2,0.2,0.0,29.1429,34.2256,5.0827,0.5975,0.2087,0.039,25.4327
vulnerable-secret,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,12.6,25.8,13.2,0.193,0.1803,0.5633,25.349
caffe-cifar-10,mini-swe-agent,terminus-3-3,75,10,0.0,0.0,0.0,25.3067,41.0,15.6933,0.0,0.2754,0.5447,25.3018
build-pov-ray,deepagent-harbor,terminus-3-3,5,10,1.0,0.9,0.1,33.2,48.8,15.6,0.1775,0.0372,0.8409,25.172
headless-terminal,gemini-cli,judy,20,5,0.75,0.8,0.05,5.5,13.4,7.9,0.2029,0.4811,0.0271,25.1355
custom-memory-heap-crash,deepagent-harbor,terminus-3-3,5,10,1.0,1.0,0.0,40.8,26.9,13.9,0.1528,0.2179,0.3875,25.105
query-optimize,claude-code,openhands,35,70,0.5429,0.5429,0.0,18.8,32.5429,13.7429,0.1369,0.2974,0.0846,25.0234
regex-chess,codex,judy,40,5,0.0,0.0,0.0,2.275,1.6,0.675,0.2738,0.6077,0.4533,24.979
pypi-server,claude-code,gemini-cli,35,20,0.2857,0.2,0.0857,19.9429,9.05,10.8929,0.3217,0.14,0.4867,24.8689
winning-avg-corewars,openhands,terminus-2,70,195,0.1,0.2,0.1,166.2143,157.0923,9.122,0.2625,0.2803,0.4163,24.7735
gcode-to-text,claude-code,openhands,35,70,0.0286,0.0143,0.0143,18.1714,29.8286,11.6572,0.1119,0.2917,0.6051,24.7727
count-dataset-tokens,codex,gemini-cli,40,20,0.45,0.4,0.05,9.15,8.4,0.75,0.5588,0.305,0.4839,24.7645
build-cython-ext,mini-swe-agent,terminus-2,75,203,0.08,0.1724,0.0924,27.6533,46.6355,18.9822,0.0225,0.0939,0.565,24.7172
torch-pipeline-parallelism,claude-code,terminus-2,35,195,0.0857,0.0205,0.0652,9.5714,16.4821,6.9107,0.4189,0.2567,0.1813,24.7072
gcode-to-text,claude-code,codex,35,40,0.0286,0.125,0.0964,18.1714,8.625,9.5464,0.2896,0.2604,0.2758,24.6754
configure-git-webserver,claude-code,gemini-cli,35,20,0.2,0.3,0.1,18.3429,6.0,12.3429,0.3979,0.0901,0.0205,24.6454
db-wal-recovery,claude-code,mini-swe-agent,35,75,0.0,0.0267,0.0267,42.7143,25.9733,16.741,0.1927,0.012,0.5478,24.5975
git-leak-recovery,gemini-cli,terminus-3-3,20,10,0.95,1.0,0.05,5.9,24.8,18.9,0.0826,0.0212,0.6034,24.512
protein-assembly,mini-swe-agent,terminus-2,75,194,0.04,0.0979,0.0579,14.3467,32.366,18.0193,0.0438,0.0772,0.683,24.4593
gpt2-codegolf,codex,mini-swe-agent,40,75,0.0,0.0,0.0,0.875,12.6133,11.7383,0.3417,0.0183,0.7434,24.4553
